source,destination,journey_date,airline,stops,seasonality,price
Aurangabad,Kochi,2026-12-23,Go First,1,1,10021
Amritsar,Dharwad,2026-03-13,SpiceJet,0,0,4582
Tezpur,Pune,2024-11-24,Go First,1,1,8543
Prayagraj,Warangal,2025-03-30,SpiceJet,2,0,6754
Siliguri,Salem,2023-02-26,Air India,1,0,7534
Dehradun,Gaya,2024-04-03,Air India,0,0,8300
Indore,Noida,2024-07-15,Air India,1,0,8227
Bhavnagar,Jamnagar,2023-05-08,IndiGo,1,1,6479
Mumbai,Erode,2024-05-02,Go First,2,1,7094
Raipur,Durgapur,2021-03-13,SpiceJet,1,0,5534
Siliguri,Lucknow,2023-04-24,IndiGo,0,0,4616
Tezpur,Delhi,2023-03-11,Go First,2,0,6141
Mumbai,Tirupati,2021-01-10,Air India,1,1,8589
Allahabad,Kanpur,2024-01-20,Go First,0,1,6685
Kanpur,Pune,2026-02-17,Go First,1,0,5425
Bhubaneswar,Pune,2022-12-29,Air India,1,1,8176
Gorakhpur,Gwalior,2022-02-16,Go First,0,0,4646
Shimla,Vellore,2021-02-12,Go First,2,0,7174
Tezpur,Imphal,2021-09-03,Vistara,2,0,8387
Nellore,Agra,2025-06-28,SpiceJet,1,1,9276
Asansol,Meerut,2026-12-03,Air India,0,1,10086
Tiruchirappalli,Calicut,2025-05-11,IndiGo,0,1,8832
Nanded,Pune,2023-11-06,SpiceJet,1,1,8337
Tirunelveli,Rajahmundry,2024-07-04,AirAsia,1,0,8473
Nellore,Varanasi,2023-04-22,Go First,1,0,6392
Kottayam,Faridabad,2021-05-31,Vistara,1,1,7380
Bareilly,Kolkata,2025-08-21,AirAsia,1,0,6851
Kolkata,Kota,2022-05-18,AirAsia,1,1,8531
Siliguri,Mysore,2022-04-12,Air India,2,0,8757
Varanasi,Jamnagar,2021-07-02,Vistara,1,0,6783
Raipur,Erode,2025-05-08,SpiceJet,1,1,8071
Moradabad,Erode,2025-07-29,IndiGo,2,0,8918
Dehradun,Udaipur,2025-07-23,Go First,1,0,5214
Nellore,Jaipur,2023-08-16,IndiGo,0,0,6945
Chennai,Udaipur,2022-09-16,IndiGo,1,0,5982
Siliguri,Rourkela,2024-03-02,Vistara,2,0,8622
Hubli,Tirunelveli,2021-12-19,Vistara,2,1,8867
Tirupati,Tiruchirappalli,2025-12-28,AirAsia,1,1,9427
Solapur,Mumbai,2026-01-12,Go First,2,1,7742
Nanded,Kakinada,2021-01-26,IndiGo,0,1,5785
Dhanbad,Shimla,2022-11-06,AirAsia,2,1,8735
Pondicherry,Agra,2025-12-11,SpiceJet,1,1,9793
Amritsar,Tezpur,2023-02-17,Air India,1,0,8844
Prayagraj,Kota,2021-07-21,SpiceJet,0,0,2955
Pune,Bareilly,2024-08-12,Air India,2,0,9676
Guwahati,Meerut,2023-02-16,Vistara,1,0,8323
Palakkad,Kanpur,2021-09-04,IndiGo,0,0,5258
Asansol,Vijayawada,2023-11-17,SpiceJet,1,1,7917
Jabalpur,Dhanbad,2023-10-06,SpiceJet,1,0,7546
Jodhpur,Kollam,2024-03-19,Go First,0,0,5102
Imphal,Salem,2024-09-04,Air India,1,0,7886
Ratnagiri,Bhavnagar,2026-06-14,IndiGo,0,1,8156
Mysore,Ludhiana,2025-04-26,AirAsia,1,0,8037
Nashik,Bhavnagar,2022-10-22,Air India,2,0,7318
Chandigarh,Gaya,2026-05-27,SpiceJet,2,1,10942
Itanagar,Jalandhar,2022-01-31,IndiGo,1,1,6137
Tirupati,Siliguri,2023-05-04,Vistara,1,1,9386
Mumbai,Bikaner,2021-08-04,Air India,0,0,7121
Sangli,Jamshedpur,2023-09-24,Go First,1,0,6067
Kochi,Chennai,2024-01-09,Vistara,1,1,7681
Kochi,Visakhapatnam,2023-11-14,Go First,0,1,6464
Chandigarh,Lucknow,2026-10-30,Vistara,1,0,8132
Jabalpur,Meerut,2025-04-08,Vistara,2,0,8663
Meerut,Quilon,2021-11-07,Air India,1,1,8544
Siliguri,Hyderabad,2022-06-10,SpiceJet,1,1,6365
Bangalore,Mysore,2021-06-13,Vistara,2,1,9204
Ratnagiri,Nagpur,2021-08-06,AirAsia,1,0,7661
Hubli,Guwahati,2024-03-22,Vistara,2,0,8830
Ahmedabad,Meerut,2025-12-05,Air India,0,1,8719
Bhavnagar,Kollam,2025-09-11,AirAsia,1,0,8398
Warangal,Vellore,2021-10-27,Air India,1,0,8434
Meerut,Indore,2026-10-16,Air India,0,0,6002
Jalandhar,Rajahmundry,2021-07-08,IndiGo,2,0,5631
Dharwad,Gwalior,2024-04-25,Vistara,2,0,8989
Jaipur,Kolkata,2021-05-15,Air India,0,1,7640
Jalandhar,Solapur,2024-04-26,SpiceJet,2,0,5939
Tirunelveli,Imphal,2024-02-06,IndiGo,1,0,4909
Mangalore,Jammu,2024-10-08,Air India,1,0,8008
Jodhpur,Tezpur,2024-06-12,AirAsia,2,1,6538
Mumbai,Tezpur,2023-12-10,Vistara,0,1,8495
Salem,Bikaner,2023-12-06,IndiGo,0,1,5445
Ludhiana,Mysore,2023-07-06,IndiGo,1,0,6664
Meerut,Dharwad,2026-08-30,Go First,1,0,5450
Guwahati,Siliguri,2025-01-27,AirAsia,1,1,7828
Moradabad,Allahabad,2021-05-17,Vistara,1,1,8217
Jammu,Surat,2021-03-15,Vistara,0,0,6670
Madurai,Bikaner,2023-11-18,Air India,2,1,9192
Quilon,Shimla,2024-08-26,Air India,0,0,5772
Guntur,Bikaner,2023-05-30,IndiGo,0,1,6031
Nagpur,Rajahmundry,2024-10-18,SpiceJet,1,0,7317
Warangal,Erode,2026-11-29,IndiGo,2,1,8576
Salem,Bhubaneswar,2024-05-25,Vistara,0,1,8023
Nashik,Jammu,2022-06-29,Air India,1,1,7630
Quilon,Jodhpur,2024-03-19,Go First,1,0,7804
Tiruchirappalli,Jhansi,2025-07-27,Go First,2,0,5883
Shimla,Jaipur,2022-08-10,Vistara,0,0,8369
Jabalpur,Bhavnagar,2023-08-06,Go First,1,0,4876
Tirupati,Guntur,2022-05-28,AirAsia,2,1,8075
Udaipur,Allahabad,2025-01-20,SpiceJet,1,1,5855
Kakinada,Quilon,2025-09-29,Air India,1,0,7272
Bhavnagar,Kottayam,2025-09-28,SpiceJet,1,0,8220
Dharwad,Shimla,2023-03-26,IndiGo,2,0,7988
Nagpur,Kurnool,2026-08-19,IndiGo,1,0,8401
Jamnagar,Bhavnagar,2023-07-27,IndiGo,0,0,5120
Nagpur,Udaipur,2023-07-23,Vistara,1,0,8050
Kochi,Raipur,2025-07-29,SpiceJet,1,0,5101
Amritsar,Solapur,2024-03-04,IndiGo,0,0,3300
Delhi,Dehradun,2021-04-01,Air India,2,0,7531
Tezpur,Rajahmundry,2021-08-11,SpiceJet,0,0,4857
Patna,Jammu,2022-03-11,IndiGo,1,0,5549
Ranchi,Tirunelveli,2026-02-17,Go First,1,0,8555
Warangal,Ranchi,2026-02-14,AirAsia,0,0,4984
Delhi,Warangal,2021-04-24,Go First,1,0,4242
Kanpur,Palakkad,2022-08-15,Vistara,1,0,8887
Jammu,Erode,2021-04-17,AirAsia,0,0,3036
Itanagar,Mysore,2021-01-19,Go First,1,1,7065
Faridabad,Chandigarh,2025-04-01,IndiGo,1,0,5347
Kolkata,Jaipur,2023-12-17,IndiGo,0,1,7474
Bhopal,Amritsar,2021-01-15,SpiceJet,1,1,6775
Kollam,Bhopal,2024-02-15,IndiGo,2,0,8853
Nashik,Ratnagiri,2021-05-19,SpiceJet,2,1,7515
Jamshedpur,Erode,2024-04-28,Air India,1,0,10037
Shimla,Mysore,2022-08-07,Air India,0,0,4543
Visakhapatnam,Bareilly,2022-12-04,Vistara,1,1,10353
Madurai,Kannur,2026-09-10,AirAsia,1,0,7183
Nellore,Palakkad,2022-02-04,IndiGo,2,0,6244
Nanded,Ratnagiri,2024-01-18,SpiceJet,0,1,6065
Pondicherry,Prayagraj,2024-02-29,IndiGo,1,0,5554
Coimbatore,Ratnagiri,2022-06-26,Vistara,1,1,8608
Panaji,Ujjain,2022-06-04,Vistara,0,1,7099
Visakhapatnam,Noida,2026-01-15,Vistara,2,1,13864
Vellore,Aurangabad,2025-03-02,Air India,2,0,8809
Bareilly,Jodhpur,2025-01-31,SpiceJet,1,1,6579
Rajkot,Jabalpur,2026-10-06,IndiGo,1,0,5548
Tezpur,Lucknow,2026-12-24,Vistara,1,1,11078
Gaya,Ujjain,2021-05-23,Go First,0,1,6776
Panaji,Lucknow,2026-09-29,AirAsia,0,0,6216
Gaya,Itanagar,2024-01-15,SpiceJet,0,1,7436
Jamshedpur,Raipur,2024-06-22,Vistara,0,1,7530
Lucknow,Siliguri,2021-07-08,Go First,2,0,5475
Delhi,Chennai,2023-01-21,Vistara,0,1,9312
Jamnagar,Nashik,2023-11-29,AirAsia,1,1,9046
Jodhpur,Meerut,2026-11-18,AirAsia,2,1,10962
Ujjain,Durgapur,2026-10-15,IndiGo,1,0,4871
Sangli,Dharwad,2026-12-18,Go First,1,1,7038
Sangli,Vellore,2023-01-02,SpiceJet,1,1,6895
Kolkata,Indore,2021-10-05,Go First,1,0,5239
Mumbai,Tezpur,2024-07-07,SpiceJet,0,0,6721
Calicut,Gwalior,2024-05-23,Air India,1,1,9072
Kakinada,Imphal,2023-12-14,Go First,0,1,5957
Rajkot,Udaipur,2024-11-27,Go First,0,1,8201
Agra,Quilon,2023-06-03,Air India,2,1,11059
Patna,Jaipur,2022-05-27,AirAsia,2,1,9047
Gaya,Varanasi,2021-09-10,Vistara,1,0,5248
Nashik,Madurai,2026-11-19,AirAsia,1,1,8587
Guwahati,Dharwad,2025-12-08,SpiceJet,1,1,9788
Erode,Ratnagiri,2023-09-11,IndiGo,1,0,5173
Mumbai,Raipur,2025-01-11,Vistara,2,1,11114
Ahmedabad,Chandigarh,2026-06-25,AirAsia,1,1,6737
Thrissur,Durgapur,2024-03-30,Air India,0,0,7269
Belgaum,Nellore,2024-10-24,Vistara,0,0,8128
Solapur,Kanpur,2023-08-11,AirAsia,0,0,5887
Raipur,Itanagar,2024-09-24,Vistara,0,0,8839
Nagpur,Mysore,2025-03-01,AirAsia,0,0,5467
Mysore,Visakhapatnam,2025-03-31,SpiceJet,0,0,5568
Tirunelveli,Jammu,2022-02-16,AirAsia,2,0,5646
Tirupati,Madurai,2025-08-06,IndiGo,2,0,6261
Dharwad,Kottayam,2022-06-19,Go First,0,1,5267
Rajkot,Thiruvananthapuram,2024-04-14,Go First,0,0,6199
Ludhiana,Jodhpur,2023-03-05,Go First,0,0,6770
Thiruvananthapuram,Belgaum,2025-06-15,Vistara,0,1,8736
Patna,Meerut,2024-08-22,IndiGo,1,0,4852
Kakinada,Jabalpur,2026-01-16,Air India,1,1,8326
Jamshedpur,Meerut,2024-07-19,Vistara,0,0,5595
Jodhpur,Dehradun,2024-02-19,IndiGo,0,0,6984
Thiruvananthapuram,Rajkot,2025-05-15,AirAsia,1,1,7726
Madurai,Mumbai,2026-06-05,AirAsia,0,1,7558
Nagpur,Kurnool,2026-09-06,AirAsia,0,0,4978
Vellore,Guwahati,2023-05-20,Air India,2,1,8964
Surat,Sangli,2024-12-22,IndiGo,0,1,5461
Ambala,Ludhiana,2026-11-11,IndiGo,1,1,8612
Bangalore,Tirupati,2023-04-04,Air India,0,0,7504
Bangalore,Gaya,2022-07-05,AirAsia,0,0,4400
Jamnagar,Nashik,2026-01-10,Air India,1,1,10948
Asansol,Bareilly,2022-08-02,Go First,1,0,4937
Ahmedabad,Srinagar,2023-07-07,SpiceJet,2,0,6162
Aurangabad,Palakkad,2026-11-03,AirAsia,1,1,9800
Udaipur,Bikaner,2022-03-09,Air India,1,0,8023
Nanded,Nashik,2021-07-23,AirAsia,0,0,4545
Moradabad,Rajkot,2024-02-04,AirAsia,1,0,8188
Agra,Varanasi,2026-04-19,AirAsia,1,0,5977
Aurangabad,Kanpur,2021-01-07,Go First,0,1,6602
Tirupati,Kota,2021-05-24,SpiceJet,2,1,8730
Guntur,Surat,2022-01-14,IndiGo,0,1,4858
Itanagar,Bhubaneswar,2023-08-31,Air India,1,0,5743
Mysore,Thiruvananthapuram,2024-04-18,IndiGo,1,0,6805
Kota,Siliguri,2023-08-25,Go First,0,0,5404
Ahmedabad,Chandigarh,2021-04-10,Air India,1,0,5149
Kakinada,Raipur,2024-03-24,SpiceJet,0,0,4738
Dharwad,Hyderabad,2024-10-18,AirAsia,1,0,6568
Patna,Tezpur,2026-01-13,Vistara,0,1,8857
Kollam,Thrissur,2025-06-07,SpiceJet,1,1,9757
Rourkela,Jabalpur,2025-05-10,IndiGo,1,1,7932
Vadodara,Srinagar,2022-09-20,AirAsia,1,0,5613
Jhansi,Agra,2021-10-25,SpiceJet,2,0,8457
Vellore,Itanagar,2024-04-06,AirAsia,1,0,6991
Hubli,Bhubaneswar,2021-07-01,Air India,1,0,7761
Allahabad,Belgaum,2025-08-04,SpiceJet,0,0,4948
Moradabad,Delhi,2023-03-17,AirAsia,2,0,8373
Dharwad,Surat,2023-09-04,Go First,0,0,6197
Bangalore,Surat,2025-08-25,IndiGo,2,0,8514
Kochi,Jhansi,2025-08-04,AirAsia,2,0,7242
Patna,Dharwad,2026-05-02,IndiGo,1,1,10007
Surat,Bhubaneswar,2023-02-07,AirAsia,1,0,6281
Thiruvananthapuram,Rajahmundry,2022-07-08,AirAsia,1,0,6910
Lucknow,Kochi,2021-07-06,Go First,1,0,5785
Bareilly,Kanpur,2021-06-23,Air India,2,1,10496
Rajahmundry,Kakinada,2026-09-12,Air India,1,0,8574
Jalandhar,Varanasi,2021-02-22,Vistara,0,0,4976
Varanasi,Thrissur,2024-11-05,SpiceJet,0,1,8321
Vellore,Amritsar,2023-06-06,Air India,1,1,8905
Erode,Kannur,2024-04-10,Go First,2,0,9072
Gorakhpur,Nashik,2022-12-31,Go First,1,1,8210
Dehradun,Pune,2024-03-30,SpiceJet,1,0,5647
Kakinada,Jamnagar,2024-02-29,IndiGo,1,0,5417
Chennai,Madurai,2024-12-24,Vistara,1,1,10326
Jabalpur,Lucknow,2022-04-26,AirAsia,0,0,6688
Faridabad,Dharwad,2023-10-20,IndiGo,2,0,6474
Hyderabad,Varanasi,2022-11-10,Vistara,2,1,10864
Hubli,Rourkela,2021-05-15,SpiceJet,1,1,6560
Chennai,Allahabad,2025-02-14,Vistara,0,0,5410
Siliguri,Gwalior,2026-11-21,Go First,0,1,7298
Ahmedabad,Bhopal,2023-01-17,Go First,1,1,8835
Raipur,Hyderabad,2025-02-15,SpiceJet,1,0,6250
Pune,Quilon,2021-01-28,AirAsia,0,1,6210
Delhi,Ranchi,2021-09-29,AirAsia,2,0,8083
Faridabad,Bhavnagar,2024-09-09,AirAsia,2,0,5707
Kolkata,Panaji,2026-11-16,Go First,1,1,9453
Solapur,Gorakhpur,2022-04-16,IndiGo,1,0,6005
Agra,Tezpur,2024-06-01,SpiceJet,1,1,8379
Vellore,Ranchi,2023-11-19,AirAsia,2,1,8574
Kurnool,Solapur,2024-04-06,Go First,1,0,5643
Jammu,Bareilly,2023-08-25,IndiGo,0,0,5602
Ranchi,Jhansi,2021-11-14,SpiceJet,2,1,7271
Visakhapatnam,Kanpur,2024-04-16,IndiGo,1,0,7727
Faridabad,Bangalore,2023-05-15,SpiceJet,0,1,7456
Thiruvananthapuram,Rourkela,2024-05-06,Air India,1,1,7812
Mysore,Bangalore,2024-04-12,SpiceJet,0,0,5020
Gorakhpur,Ludhiana,2026-05-22,Air India,1,1,11366
Gaya,Belgaum,2021-09-28,Air India,1,0,6039
Guntur,Bangalore,2026-02-17,IndiGo,2,0,8434
Moradabad,Tiruchirappalli,2021-07-16,Go First,0,0,5503
Kottayam,Noida,2021-07-28,Vistara,1,0,7653
Ujjain,Warangal,2026-06-04,AirAsia,0,1,7475
Delhi,Kottayam,2025-01-20,IndiGo,2,1,6536
Dhanbad,Bhubaneswar,2026-03-08,AirAsia,1,0,8912
Jammu,Jalandhar,2025-05-20,Go First,2,1,7563
Chandigarh,Mysore,2026-08-22,Vistara,2,0,9222
Rourkela,Warangal,2021-08-23,AirAsia,1,0,6404
Jamnagar,Asansol,2022-02-22,Go First,2,0,4651
Tiruchirappalli,Kochi,2023-08-28,Vistara,0,0,7323
Kollam,Hubli,2022-12-02,IndiGo,2,1,8352
Bareilly,Durgapur,2022-05-06,IndiGo,0,1,7406
Bhubaneswar,Panaji,2023-05-21,Air India,0,1,9285
Solapur,Surat,2021-08-03,SpiceJet,2,0,7205
Durgapur,Asansol,2021-09-15,IndiGo,1,0,4814
Noida,Kochi,2022-11-21,IndiGo,2,1,9207
Warangal,Itanagar,2022-10-25,Go First,2,0,8176
Belgaum,Amritsar,2025-01-10,SpiceJet,1,1,9071
Rourkela,Sangli,2025-08-05,IndiGo,0,0,5281
Patna,Kota,2025-12-15,Go First,0,1,6372
Mumbai,Raipur,2022-09-16,Vistara,1,0,7427
Solapur,Gaya,2023-04-22,AirAsia,0,0,3922
Udaipur,Bangalore,2026-11-25,Go First,0,1,8895
Nagpur,Allahabad,2023-07-08,AirAsia,0,0,5672
Bhopal,Surat,2023-09-27,Go First,0,0,5702
Dhanbad,Hubli,2023-07-18,Vistara,0,0,8294
Madurai,Gaya,2023-02-24,Go First,1,0,5308
Bhopal,Patna,2021-09-26,IndiGo,0,0,4763
Guntur,Imphal,2023-01-15,SpiceJet,1,1,6153
Tirunelveli,Solapur,2023-01-17,Go First,1,1,8298
Nellore,Jamnagar,2026-10-20,Air India,0,0,8213
Guntur,Pondicherry,2026-10-03,SpiceJet,1,0,6503
Srinagar,Calicut,2022-08-14,Vistara,0,0,6927
Meerut,Ranchi,2024-11-16,Go First,1,1,7665
Mangalore,Madurai,2022-09-22,AirAsia,2,0,5901
Surat,Jaipur,2023-12-21,IndiGo,1,1,7588
Allahabad,Moradabad,2026-04-12,Vistara,2,0,9034
Jamnagar,Mysore,2022-08-26,SpiceJet,1,0,3739
Visakhapatnam,Guntur,2024-05-05,Air India,0,1,9309
Sangli,Coimbatore,2024-03-01,Vistara,0,0,7855
Quilon,Guwahati,2026-04-02,SpiceJet,1,0,6240
Gorakhpur,Kanpur,2024-02-16,Vistara,1,0,5846
Itanagar,Kannur,2023-02-01,Air India,1,0,8274
Allahabad,Kurnool,2021-03-16,IndiGo,2,0,5621
Prayagraj,Dhanbad,2022-09-17,Vistara,0,0,8377
Vijayawada,Nashik,2025-12-19,Vistara,2,1,10593
Meerut,Erode,2021-11-03,Air India,0,1,6133
Imphal,Jammu,2023-04-10,Vistara,1,0,7725
Bangalore,Ludhiana,2024-11-13,Go First,1,1,7283
Madurai,Mysore,2024-12-19,IndiGo,2,1,9142
Agra,Udaipur,2022-05-17,Air India,1,1,9772
Bhopal,Mysore,2022-09-04,SpiceJet,0,0,4608
Bangalore,Hyderabad,2026-04-01,IndiGo,1,0,7755
Jaipur,Quilon,2021-04-26,SpiceJet,1,0,3861
Hubli,Solapur,2026-05-04,Vistara,1,1,9351
Rajahmundry,Sangli,2022-10-07,IndiGo,1,0,4518
Tezpur,Tirupati,2026-09-20,Air India,0,0,9123
Rourkela,Hubli,2022-02-20,AirAsia,1,0,5062
Mumbai,Imphal,2021-02-14,SpiceJet,2,0,7764
Mangalore,Mysore,2021-07-06,SpiceJet,1,0,6044
Allahabad,Madurai,2023-03-17,SpiceJet,1,0,6033
Patna,Bhubaneswar,2023-01-26,Vistara,2,1,8597
Durgapur,Hubli,2023-09-24,Go First,0,0,3816
Udaipur,Jaipur,2025-09-04,SpiceJet,2,0,7473
Bhubaneswar,Jammu,2026-11-28,Air India,0,1,8416
Bikaner,Sangli,2021-12-03,Go First,1,1,6773
Solapur,Thrissur,2026-11-14,Air India,2,1,8666
Bhavnagar,Calicut,2026-03-31,AirAsia,1,0,4960
Delhi,Kota,2023-01-30,Vistara,2,1,8441
Amritsar,Patna,2021-07-25,Vistara,1,0,6469
Raipur,Quilon,2024-07-07,AirAsia,1,0,6103
Meerut,Kanpur,2025-05-29,Vistara,1,1,9484
Bangalore,Kottayam,2021-04-24,SpiceJet,1,0,5800
Nellore,Dehradun,2022-08-12,Vistara,0,0,6316
Jammu,Asansol,2022-07-02,SpiceJet,2,0,4754
Kolkata,Bikaner,2021-10-12,AirAsia,1,0,7193
Tirunelveli,Durgapur,2021-01-21,AirAsia,0,1,7910
Varanasi,Guwahati,2026-07-23,SpiceJet,1,0,7204
Prayagraj,Jhansi,2022-06-27,SpiceJet,1,1,8033
Hyderabad,Ratnagiri,2023-02-16,Go First,1,0,5775
Ratnagiri,Varanasi,2025-10-24,Go First,2,0,7699
Hyderabad,Gaya,2023-11-09,Vistara,0,1,7417
Bikaner,Shimla,2023-02-08,AirAsia,1,0,6518
Gaya,Surat,2022-04-10,IndiGo,1,0,5048
Tirunelveli,Kolkata,2025-06-03,AirAsia,1,1,8734
Faridabad,Aurangabad,2026-05-28,AirAsia,2,1,11011
Udaipur,Chandigarh,2022-11-19,Air India,1,1,7832
Belgaum,Gorakhpur,2023-05-13,IndiGo,1,1,7133
Vijayawada,Raipur,2021-02-22,AirAsia,0,0,4863
Bhubaneswar,Bikaner,2024-06-16,Go First,2,1,7742
Kota,Prayagraj,2024-02-14,IndiGo,0,0,7675
Jalandhar,Jodhpur,2024-01-12,SpiceJet,1,1,5835
Mysore,Hyderabad,2023-10-01,SpiceJet,2,0,7953
Erode,Ludhiana,2026-06-17,Go First,0,1,7313
Kollam,Rajkot,2024-10-11,SpiceJet,2,0,7776
Kochi,Tiruchirappalli,2021-09-27,SpiceJet,0,0,3822
Kottayam,Jhansi,2025-03-11,Vistara,1,0,9403
Nagpur,Faridabad,2021-05-30,Go First,2,1,8510
Hyderabad,Ahmedabad,2024-06-19,SpiceJet,1,1,5666
Bhavnagar,Ambala,2023-07-16,Vistara,2,0,9550
Gwalior,Varanasi,2022-02-22,Go First,0,0,6703
Ranchi,Ratnagiri,2024-08-26,IndiGo,2,0,7045
Gwalior,Belgaum,2025-05-25,Air India,2,1,10914
Panaji,Bikaner,2026-12-14,Vistara,1,1,9949
Raipur,Nagpur,2025-08-12,IndiGo,2,0,7346
Amritsar,Indore,2022-02-05,Air India,0,0,6217
Pune,Guntur,2021-09-28,Air India,0,0,4819
Jamshedpur,Raipur,2023-01-30,Vistara,1,1,7726
Noida,Bhopal,2023-09-14,AirAsia,1,0,6604
Ratnagiri,Bikaner,2025-10-03,Go First,0,0,4532
Indore,Hyderabad,2025-11-17,Go First,2,1,7347
Hyderabad,Jamnagar,2022-05-19,AirAsia,1,1,6236
Dhanbad,Tiruchirappalli,2023-11-10,Vistara,1,1,8400
Kanpur,Srinagar,2024-06-08,Go First,1,1,8214
Allahabad,Kurnool,2024-06-22,Air India,1,1,9030
Kottayam,Tiruchirappalli,2024-11-25,Vistara,0,1,8712
Rajkot,Kollam,2024-03-07,IndiGo,2,0,5893
Moradabad,Ujjain,2025-10-22,Vistara,0,0,8336
Pune,Patna,2026-05-27,IndiGo,2,1,8983
Palakkad,Rajkot,2026-07-04,Go First,1,0,8543
Chennai,Itanagar,2024-11-26,AirAsia,1,1,8954
Thiruvananthapuram,Jammu,2021-09-03,SpiceJet,1,0,4561
Patna,Chandigarh,2026-11-22,Go First,1,1,7818
Solapur,Durgapur,2025-07-24,IndiGo,0,0,5888
Kochi,Nellore,2022-11-03,Go First,1,1,5922
Jammu,Visakhapatnam,2022-04-28,Air India,1,0,5578
Calicut,Thiruvananthapuram,2021-11-24,SpiceJet,1,1,5639
Belgaum,Prayagraj,2022-08-31,SpiceJet,1,0,4860
Jodhpur,Bareilly,2025-12-11,SpiceJet,1,1,8036
Delhi,Jabalpur,2025-07-02,Air India,1,0,9566
Nanded,Belgaum,2023-04-30,SpiceJet,1,0,7182
Amritsar,Gwalior,2024-09-20,Go First,1,0,7175
Kota,Imphal,2026-11-30,Vistara,2,1,10407
Aurangabad,Gwalior,2022-07-07,Air India,1,0,8300
Rourkela,Jaipur,2026-12-23,SpiceJet,1,1,8161
Tirupati,Tirunelveli,2022-08-03,IndiGo,2,0,7380
Rourkela,Vijayawada,2026-02-11,Air India,0,0,7720
Pune,Varanasi,2024-11-27,SpiceJet,0,1,7013
Gwalior,Varanasi,2023-11-22,Vistara,0,1,8011
Panaji,Kanpur,2024-03-26,IndiGo,1,0,4805
Asansol,Dharwad,2025-04-25,Vistara,1,0,10286
Vellore,Raipur,2024-01-22,AirAsia,1,1,6622
Raipur,Lucknow,2024-12-23,AirAsia,2,1,6808
Nagpur,Madurai,2023-08-20,AirAsia,1,0,4491
Nagpur,Dehradun,2021-03-08,Vistara,2,0,6969
Belgaum,Nagpur,2024-02-19,Go First,1,0,5165
Faridabad,Bhavnagar,2026-06-19,AirAsia,2,1,10099
Jamshedpur,Bhavnagar,2023-12-23,IndiGo,1,1,7838
Dehradun,Warangal,2023-03-14,Go First,1,0,5259
Palakkad,Meerut,2026-09-25,AirAsia,2,0,6778
Rajkot,Shimla,2024-03-16,Go First,1,0,8379
Tirunelveli,Bhopal,2025-11-21,Go First,1,1,8561
Kannur,Madurai,2026-03-14,SpiceJet,0,0,4263
Aurangabad,Chennai,2021-01-23,Vistara,1,1,8899
Shimla,Siliguri,2022-07-21,AirAsia,0,0,5401
Nellore,Moradabad,2023-12-26,SpiceJet,1,1,7697
Faridabad,Shimla,2022-06-20,Air India,1,1,9939
Indore,Raipur,2022-04-22,Air India,1,0,5948
Hubli,Hyderabad,2024-04-27,Air India,1,0,8057
Rajkot,Bareilly,2026-11-17,Air India,2,1,10086
Dhanbad,Nellore,2025-12-15,AirAsia,0,1,8411
Warangal,Patna,2025-04-17,Go First,1,0,5693
Jodhpur,Ranchi,2023-03-18,SpiceJet,2,0,5434
Kottayam,Kanpur,2024-04-23,SpiceJet,1,0,8209
Tiruchirappalli,Belgaum,2024-05-10,Vistara,2,1,10440
Jabalpur,Belgaum,2023-01-16,IndiGo,2,1,7789
Srinagar,Thiruvananthapuram,2026-06-22,IndiGo,1,1,7986
Amritsar,Agra,2026-05-04,Go First,2,1,9015
Ambala,Udaipur,2026-02-17,Go First,1,0,7279
Aurangabad,Nellore,2021-09-27,Go First,1,0,4063
Kakinada,Panaji,2023-08-15,Go First,2,0,6639
Dehradun,Siliguri,2021-08-22,SpiceJet,0,0,4876
Dharwad,Pondicherry,2023-02-04,Vistara,1,0,8997
Kakinada,Ahmedabad,2024-02-16,Go First,1,0,6045
Mysore,Hyderabad,2024-04-01,SpiceJet,0,0,5402
Jaipur,Ujjain,2026-04-10,Air India,2,0,7948
Tirunelveli,Dehradun,2021-01-25,AirAsia,2,1,8204
Ahmedabad,Prayagraj,2023-11-04,Air India,0,1,7621
Palakkad,Kannur,2022-05-11,SpiceJet,1,1,5514
Madurai,Pune,2023-02-10,Air India,2,0,10394
Rourkela,Vijayawada,2023-12-23,Vistara,1,1,9657
Meerut,Kanpur,2021-08-15,AirAsia,0,0,5784
Moradabad,Chandigarh,2025-08-18,Vistara,0,0,7473
Bareilly,Kottayam,2021-07-24,SpiceJet,2,0,5393
Sangli,Gorakhpur,2022-03-30,SpiceJet,2,0,7795
Gwalior,Nashik,2022-08-15,Go First,0,0,4411
Itanagar,Tiruchirappalli,2025-01-17,Air India,1,1,10693
Mysore,Solapur,2024-12-22,Air India,1,1,9738
Jodhpur,Faridabad,2022-09-20,Air India,0,0,5117
Visakhapatnam,Siliguri,2021-01-05,Go First,2,1,8648
Bangalore,Bhavnagar,2025-05-19,Air India,1,1,7774
Indore,Nagpur,2022-02-17,Vistara,1,0,6087
Delhi,Panaji,2023-11-11,IndiGo,2,1,6721
Nellore,Solapur,2025-01-13,Go First,1,1,8015
Patna,Dehradun,2026-12-24,Go First,2,1,8058
Bhavnagar,Ahmedabad,2024-11-05,IndiGo,1,1,8622
